Review ID,Vehicle ID,Vehicle Type/Model,Review Date,Rating,Review Text,Predicted Maintenance Label
1001,54321,Sedan,01-06-2024,4,"The car is very comfortable and smooth to drive. I've had no major issues, but the engine sometimes makes a strange noise when idling. I'll take it to the mechanic soon to check it out.",Yes
1002,67890,SUV,15-07-2024,5,"I absolutely love this SUV. It's spacious, powerful, and handles great. I've had no issues at all and plan on keeping it for a long time.",No
1003,32109,Electric Car,20-07-2024,3,"The electric car is a great concept, but I've had several problems with the battery charging and the range. I've had to take it to the dealership multiple times for repairs.",Yes
1004,98765,Minivan,03-07-2024,5,"This minivan is perfect for my family. It's roomy, comfortable, and the kids love it. I've had no issues at all and would highly recommend it to anyone.",No
1005,12345,Motorcycle,12-06-2024,4,"I enjoy riding my motorcycle, but it does require regular maintenance. The engine runs smoothly, but I've had to replace the tires and chain recently.",Yes
1006,76543,Truck,25-07-2024,5,"This truck is a beast. It's powerful, reliable, and can handle anything I throw at it. I've had no issues at all and plan on keeping it for a long time.",No
1007,55555,Scooter,10-07-2024,3,"The scooter is convenient for short trips, but it does require frequent charging. I've had to replace the battery twice already.",Yes
1008,88888,Hybrid Car,28-06-2024,4,"The hybrid car is a great compromise between gas and electric. It's smooth, efficient, and I've had no major issues. However, I've noticed a slight vibration when accelerating. I'll take it to the dealership to check it out.",Yes
1009,22222,Van,15-07-2024,5,"This van is perfect for my business. It's spacious, reliable, and the fuel efficiency is great. I've had no issues at all and would highly recommend it to anyone.",No
1010,44444,Motorcycle,30-06-2024,5,"I love riding my motorcycle, and it's been a reliable companion. I've had no issues at all and plan on keeping it for a long time.",No
1011,99999,Sedan,05-08-2024,4,"The car is comfortable and handles well, but I've noticed a strange noise coming from the engine. I'll take it to the dealership to check it out.",Yes
1012,11111,SUV,20-07-2024,5,"This SUV is perfect for my family. It's spacious, reliable, and the kids love it. I've had no issues at all and would highly recommend it to anyone.",No
1013,22222,Electric Car,10-08-2024,3,"The electric car is a great concept, but I've had several problems with the battery charging and the range. I've had to take it to the dealership multiple times for repairs.",Yes
1014,33333,Minivan,01-08-2024,5,"This minivan is perfect for my family. It's roomy, comfortable, and the kids love it. I've had no issues at all and would highly recommend it to anyone.",No
1015,44444,Motorcycle,25-07-2024,4,"I enjoy riding my motorcycle, but it does require regular maintenance. The engine runs smoothly, but I've had to replace the tires and chain recently.",Yes
